id,name,source_id
"7572","Mike Adams","142"
"7577","by Ann Charlotte Valentin (info@www.naturalawakeningsmag.com)","143"
"7593","Chinesehealthandfitness","142"
"7625","Stephanie Diaz","145"
"7630","Sandy J Duncan","142"
"7635","Ashley Murray","142"
"7644","bonnevivante","142"
"7650","John Strangis","142"
"7651","Cherise Scally","142"
"7659","holisticman","142"
"7661","Kara Maria Ananda","144"
"7663","Jelani McClain","142"
"7665","Isabelle Z.","145"
"7666","Vicki Batts","145"
"7682","Troy Shanks","142"
"7694","George Zapo, CPH","142"
"7697","onno nieveen","142"
"7698","Jonathan Cho","142"
"7724","Emily","142"
"7742","Ryan Cristian","144"
"18707","Emily Anthes","201"
"18709","Lisa J. Hardy","165"
"18715","Andrea Peirce Sanjai Sinha","170"
"18737","Annie Hauser Elizabeth Millard Kelly Kennedy Lisa Rapaport Jessica Migala Moira Lawler Lauren Bedosky","170"
"18738","David Lyons Trevis Gleason Mona Sen Katherine Lee","170"
"18741","George Vernadakis Becky Upham Serena Marshall Don Rauf Melba Newsome","170"
"18744","Janet Manley","201"
"18749","Daniel Carpenter and Gregg Gonsalves","165"
"18754","Jenny Gross","201"
"18756","Isabel Kershner","201"
"18758","Christina Farr","165"
"18764","Howard Chang Katherine Lee Erica Patino Brian P. Dunleavy","170"
"18786","Erik DeLapp","201"
"18787","A. Rochaun Meadows-Fernandez Serena Marshall Meryl Davids Landau George Vernadakis Becky Upham","170"
"7726","Josh del Sol","144"
"7731","Dios","142"
"7743","Marc Angelo Coppola","144"
"7744","Opencare","142"
"7750","Tom Bunzel","144"
"7772","Valera Carmichael","144"
"7780","Chloe Divino","145"
"7786","Sandeep Godiyal","142"
"7791","Liu Jiao","142"
"7798","Leona Henryson","144"
"7807","Erika Remmington","142"
"7809","Christine . S","142"
"7820","Kimberley Record","144"
"7822","Tam Hunt","144"
"7851","Rima Star","142"
"7853","Heidi Kristoffer","142"
"7858","LibertyChick","142"
"7861","Karena Allen","144"
"7867","Paul Kemp","142"
"7873","Dr. Katherine Kremblewski ND","146"
"7880","Tori Wesszer","146"
"7897","Holisticmom (noreply@blogger.com)","147"
"7898","Jennifer Hollie Bowles","142"
"7902","Mary Mole'-DiCaro","142"
"7917","Scott Kelley","142"
"7928","Prof. Hesin","142"
"7929","Shakti Mhi","142"
"7933","Connie Rogers","142"
"7941","Nick Huxsted","142"
"7942","White Wolf Von Atzingen","142"
"7963","Laura Halfpenny","142"
"7964","coachbrenton","142"
"7967","Theona Layne","142"
"7971","Kenny Sheafer","142"
"7972","Ann Musico","142"
"7975","J.D. Ward","142"
"7988","James Torro","142"
"7996","Mirjana","142"
"8001","Michelle Schoffro","142"
"8007","Kelly Tallaksen","142"
"18804","Harald Schmidt","165"
"18808","Jen Laskey Jason Paul Chua Md","170"
"8042","Ernest Dempsey","142"
"8050","Lynn Griffith","142"
"8062","Fairfield Easton","142"
"8069","Johnny The Healer","142"
"8101","araza","142"
"8136","DrKimCrawford","142"
"8138","Chris Rasmussen MD, MS.","142"
"8139","Melissa","142"
"8140","Willow","142"
"8141","thehealthfreedommom","142"
"8148","emmakes","142"
"8160","Ronnie","142"
"8166","Marty","142"
"8172","Amal Bakleh","142"
"8173","Dancing Brook","142"
"8181","Sandy Halliday","142"
"8184","Frances Vincen-Brown","142"
