id,method_id,annotation_type_id,annotation_category,entity_type,entity_id,value,created_at,updated_at
"348978","9","6","prediction","articles","340270","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.7755936980247498, ""presence_score"": 0.431865093000016, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.8016748428344727, ""presence_score"": 0.40452776735682705, ""partial_veracity"": ""false""}]}","2020-03-08 20:45:46.736875+01","2022-03-09 22:59:33.735402+01"
"501875","9","6","prediction","articles","978817","{""claims"": [{""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.451700896024704, ""presence_score"": 0.3706678485155721, ""partial_veracity"": ""unknown""}]}","2021-01-21 19:24:10.779482+01","2022-03-10 01:43:02.722357+01"
"460783","9","6","prediction","articles","913019","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.45362502336502075, ""presence_score"": 0.4022422826802843, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.4944773316383362, ""presence_score"": 0.3891587045993103, ""partial_veracity"": ""true""}]}","2020-09-26 17:24:23.027414+02","2022-03-10 01:40:16.318531+01"
"348547","9","6","prediction","articles","339585","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.6670497059822083, ""presence_score"": 0.45471807658197516, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.5534846186637878, ""presence_score"": 0.48449664858444574, ""partial_veracity"": ""false""}]}","2020-03-08 20:42:56.472556+01","2022-03-09 22:53:11.199875+01"
"377217","9","6","prediction","articles","257730","{""claims"": [{""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.9433029294013977, ""presence_score"": 0.45081276505601625, ""partial_veracity"": ""false""}]}","2020-03-08 23:52:12.928556+01","2022-03-10 01:40:45.700069+01"
"330854","9","6","prediction","articles","306951","{""claims"": [{""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.5276321768760681, ""presence_score"": 0.4175687618830242, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.6102502346038818, ""presence_score"": 0.4246384191676788, ""partial_veracity"": ""false""}]}","2020-03-08 18:14:49.394073+01","2022-03-09 22:55:18.495422+01"
"447978","9","6","prediction","articles","847419","{""claims"": [{""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 6279, ""presence"": ""yes"", ""stance_score"": 0.7841158509254456, ""presence_score"": 0.4973914093593977, ""partial_veracity"": ""true""}]}","2020-07-17 05:19:47.077877+02","2022-03-10 01:39:22.082192+01"
"377244","9","6","prediction","articles","257767","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8180447220802307, ""presence_score"": 0.5668452517980122, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4912, ""presence"": ""yes"", ""stance_score"": 0.9144813418388367, ""presence_score"": 0.42538141438412014, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.865286648273468, ""presence_score"": 0.6349303810942306, ""partial_veracity"": ""false""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 5150, ""presence"": ""yes"", ""stance_score"": 0.750844419002533, ""presence_score"": 0.3559148127146245, ""partial_veracity"": ""true""}]}","2020-03-08 23:52:23.822266+01","2022-03-10 01:41:26.64275+01"
"377191","9","6","prediction","articles","257676","{""claims"": [{""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 1859, ""presence"": ""yes"", ""stance_score"": 0.6647548675537109, ""presence_score"": 0.5488250010878684, ""partial_veracity"": ""true""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 2524, ""presence"": ""yes"", ""stance_score"": 0.8001123070716858, ""presence_score"": 0.3582181516610226, ""partial_veracity"": ""false""}]}","2020-03-08 23:52:02.018252+01","2022-03-10 01:40:20.437434+01"
"460812","9","6","prediction","articles","913149","{""claims"": []}","2020-09-26 17:24:40.144655+02","2022-03-10 01:41:42.079913+01"
