id,article_id,media_type_id,url,caption,extracted_at
"274334","316816","1","https://www.naturalnews.com/wp-content/uploads/sites/91/2017/05/Aroma-Atmosphere-Background-Bath-Bloom-Candle-Candlelight.jpg","Image: Scented candles fill the air of homes with dust and spores, warn researchers","2019-09-05 10:39:08.981244+02"
"274218","316726","1","https://www.naturalnews.com/wp-content/uploads/sites/91/2017/05/Full-Blood-Mosquito-Body-While-Bite.jpg","Image: Repel mosquitos naturally with these 10 powerful plants","2019-09-05 10:38:41.457128+02"
"274236","315794","1","https://i0.wp.com/neurosciencenews.com/files/2014/11/calcium-cells-neurodegeneration.jpg?fit=750%2C655&ssl=1","Top image","2019-09-05 10:38:46.813396+02"
"274348","315896","1","https://i2.wp.com/neurosciencenews.com/files/2014/10/migraine-epilepsy.jpg?fit=750%2C499&ssl=1","Top image","2019-09-05 10:39:12.369886+02"
"274435","315991","1","https://i0.wp.com/neurosciencenews.com/files/2014/10/cell-culture-parkinsons.jpg?fit=750%2C480&ssl=1","Top image","2019-09-05 10:39:29.483052+02"
"274436","315997","1","https://i2.wp.com/neurosciencenews.com/files/2014/10/parkinsons-neural-stem-cells.jpg?fit=750%2C254&ssl=1","Top image","2019-09-05 10:39:29.613893+02"
"274465","316910","1","https://www.naturalnews.com/wp-content/uploads/sites/91/2017/05/Sunblock.jpg","Image: Natural News reveals its top sunscreens to avoid in 2017","2019-09-05 10:39:34.570239+02"
"274378","315924","1","https://i1.wp.com/neurosciencenews.com/files/2014/10/reminiscing-boosts-mental-performance.jpg?fit=750%2C496&ssl=1","Top image","2019-09-05 10:39:18.155383+02"
"274383","315943","1","https://i1.wp.com/neurosciencenews.com/files/2014/10/aging-memory-alcohol.jpg?fit=750%2C563&ssl=1","Top image","2019-09-05 10:39:20.191679+02"
"274407","316864","1","https://www.naturalnews.com/wp-content/uploads/sites/91/2017/04/3d-Rendered-Illustration-Human-Brain-Anatomy.jpg","Image: CONFIRMED: Omega-3s boost blood flow to regions of the brain responsible for learning and memory","2019-09-05 10:39:24.064327+02"
"274431","315986","1","https://i1.wp.com/neurosciencenews.com/files/2014/10/geometric-museum-images.jpg?fit=750%2C572&ssl=1","Top image","2019-09-05 10:39:28.343238+02"
"274442","316004","1","https://i0.wp.com/neurosciencenews.com/files/2014/10/fmri-adhd-cortex-thickness.jpg?fit=750%2C561&ssl=1","Top image","2019-09-05 10:39:31.323236+02"
"274511","316935","1","https://www.naturalnews.com/wp-content/uploads/sites/91/2017/05/High-Voltage-Electrocute.jpg","Image: After destroying millions of children with psychiatric drugs, the industry now wants the FDA to expand electroshock “therapy” on children","2019-09-05 10:39:45.669578+02"
