id,related_object_url,reaction_count,comment_count,share_count,comment_plugin_count,extracted_at,feedback_sum
"65079390","http://feeds.foxnews.com/~r/foxnews/health/~3/r7uRt7l9Kg4/cdc-universal-mask-use-indoors-coronavirus-surge","0","0","0","0","2020-12-25 00:07:54.944886+01","0"
"65079375","https://www.dailymail.co.uk/sciencetech/article-9018211/Pain-Grimacing-make-injection-bearable-study-claims-ahead-COVID-vaccine-rollout.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 00:07:49.575383+01","0"
"65080401","https://www.statnews.com/2020/12/07/pfizer-moderna-decline-white-house-vaccine-summit/","18974","3140","4307","0","2020-12-25 00:14:22.556136+01","26421"
"65080436","https://neurosciencenews.com/chandelier-cells-depth-perception-17381/","24","0","19","0","2020-12-25 00:14:36.011896+01","43"
"65080646","https://www.dailymail.co.uk/news/article-9027097/People-mix-match-coronavirus-vaccines-jab-chiefs-say.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","37","33","62","0","2020-12-25 00:15:50.698488+01","132"
"65080873","https://www.naturalnews.com/2020-12-06-children-with-coronavirus-are-asymptomatic.html","0","0","0","0","2020-12-25 00:17:13.383704+01","0"
"65080885","https://neurosciencenews.com/bartonella-psychology-skin-17385/","63","14","46","0","2020-12-25 00:17:17.406395+01","123"
"65081037","http://www.medicinenet.com/script/main/art.asp?articlekey=249612","0","0","1","0","2020-12-25 00:18:11.411809+01","1"
"65080908","http://feeds.foxnews.com/~r/foxnews/health/~3/j1IV9Fv5WeA/us-tops-15m-coronavirus-cases","0","0","0","0","2020-12-25 00:17:24.476348+01","0"
"65081184","https://www.statnews.com/2020/12/09/to-defeat-covid-19-we-must-acknowledge-the-fear-it-engenders/","549","77","91","0","2020-12-25 00:19:04.228561+01","717"
"65081200","https://www.who.int/news/item/08-12-2020-medical-product-alert-n-7-2020","0","2","9","0","2020-12-25 00:19:09.011067+01","11"
"65081204","https://www.nytimes.com/2020/12/09/well/move/to-lose-weight-with-exercise-aim-for-300-minutes-a-week.html","8757","5047","2798","0","2020-12-25 00:19:10.155807+01","16602"
"65081334","https://www.naturalnews.com/2020-12-08-facebook-to-force-intellectual-submission-coronavirus-vaccines.html","0","0","0","0","2020-12-25 00:19:58.971511+01","0"
"65081363","https://www.nytimes.com/2020/12/09/style/modern-love-podcast-strangers-domestic-violence-victim.html","223","81","56","0","2020-12-25 00:20:10.348996+01","360"
"65081488","https://neurosciencenews.com/how-you-measure-happiness-depends-on-where-you-live/","17","2","36","0","2020-12-25 00:21:00.974472+01","55"
"65081500","https://www.healthcentral.com/slideshow/can-vaginal-atrophy-be-reversed","0","0","0","0","2020-12-25 00:21:05.362171+01","0"
"65081861","http://feeds.foxnews.com/~r/foxnews/health/~3/jNBOxEnJMD4/worlds-top-10-killer-causes-2019-who","0","0","0","0","2020-12-25 00:23:25.118861+01","0"
"65082227","http://www.who.int/entity/pmnch/media/news/2020/covid-19-commitments/en/index.html","0","0","0","0","2020-12-25 00:25:45.521149+01","0"
"65082372","https://www.dailymail.co.uk/news/article-9038631/160-000-people-waiting-year-NHS-operations-amid-Covid-delays.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 00:26:39.480764+01","0"
"65082658","https://www.naturalnews.com/2020-12-11-uk-mysterious-covid19-aerosol-test-flight.html","0","0","0","0","2020-12-25 00:28:31.126965+01","0"
"65082828","https://www.nytimes.com/2020/12/13/health/flu-coronavirus-twindemic.html","2223","1087","413","0","2020-12-25 00:29:38.489716+01","3723"
"65083252","https://www.statnews.com/2020/12/14/let-the-vaccinations-begin-astrazenecas-acquisition-regulatory-ma/","0","0","0","0","2020-12-25 00:32:21.632845+01","0"
"65083327","http://feeds.foxnews.com/~r/foxnews/health/~3/SSQcr3uZ1Yg/surgeon-general-says-coronavirus-vaccine-rollout-is-beginning-of-the-end","0","0","0","0","2020-12-25 00:32:49.952577+01","0"
"65083435","https://www.dailymail.co.uk/health/article-9053877/Dr-MARTIN-SCURR-answers-health-questions.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 00:33:31.012316+01","0"
"65083543","http://www.medicinenet.com/script/main/art.asp?articlekey=249868","0","0","0","0","2020-12-25 00:34:12.453996+01","0"
"65083540","http://www.medicinenet.com/script/main/art.asp?articlekey=249865","0","0","0","0","2020-12-25 00:34:11.441388+01","0"
"65083554","https://www.dailymail.co.uk/news/article-9050827/How-Englands-North-South-divide-reversed.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","7","0","12","0","2020-12-25 00:34:15.89565+01","19"
"65083802","https://www.naturalnews.com/2020-12-13-merck-covid19-vaccines-biohazard-nightmare-feces-filth.html","0","0","0","0","2020-12-25 00:35:48.606793+01","0"
"65084010","https://themindunleashed.com/2020/12/serial-rapists-in-pakistan-to-be-chemically-castrated-under-strict-new-laws.html","10988","1175","729","0","2020-12-25 00:37:11.13519+01","12892"
"65084008","https://consciouslifenews.com/5-amazing-benefits-for-maintaining-an-active-lifestyle/11199416/","0","0","1","0","2020-12-25 00:37:10.342103+01","1"
"65084476","https://healthimpactnews.com/2020/big-brother-in-disguise-the-rise-of-a-new-technological-world-order/","33","5","71","0","2020-12-25 00:40:22.497361+01","109"
"65084480","https://vaccineimpact.com/2020/big-brother-in-disguise-the-rise-of-a-new-technological-world-order/","0","2","2","0","2020-12-25 00:40:23.787964+01","4"
"65084535","https://iheartintelligence.com/japanese-tear-teacher-is-teaching-people-the-health-benefits-of-crying/","0","0","2","0","2020-12-25 00:40:44.478594+01","2"
