id,title,author_id,body,raw_body,category,perex,url,source_id,other_info,published_at,extracted_at,feedback_facebook_id,monitoring_tags
"378277","The USA is nothing more than a corporation","8157","Recently, the Natural News Editors wrote a classic article depicting the fact that the corporations ... <truncated>","<p>Recently, the Natural News Editors wrote a classic article depicting the fact that the corporatio... <truncated>","{Health}","<p>Recently, the Natural News Editors wrote a classic article depicting the fact that the corporations have seized every branch of government. What they failed to realize is that the alleged land of the free and the home of the brave is a public relations scam to give false security to the “employees” living here. In [&hellip;]</p>
","https://naturalnewsblogs.com/usa-nothing-corporation/","142","{""tags"": [""bankrupt"", ""united states"", ""USA""], ""updated_at"": ""2015-01-26T14:08:53""}","2015-01-26 14:08:53+01","2019-09-19 15:08:48.168641+02","108676170","english, medical"
"378202","A simple approach to begin a healthier lifestyle – Part 2","7981","This is a continuation from a post that I published recently, which you can find HERE.
Try convenien... <truncated>","<p>This is a continuation from a post that I published recently, which you can find <a href=""http://... <truncated>","{Health,Food,Nutrition}","<p>This is a continuation from a post that I published recently, which you can find HERE. Try convenient, fast foods to quickly add high amounts of nutrients to the diet I like the idea of green smoothies immensely&#8230; First, they are convenient once you get a routine down. Also, they are a great way to [&hellip;]</p>
","https://naturalnewsblogs.com/simple-approach-begin-healthier-lifestyle-part-2/","142","{""tags"": [""green smoothies"", ""raw food"", ""weight loss""], ""updated_at"": ""2015-01-06T13:16:48""}","2015-01-06 13:16:48+01","2019-09-19 15:07:27.793657+02","108676025","english, medical"
"378320","Seven Foods to Reduce the Risk of Lung Cancer","7859","Lung cancer is one of the most common forms of this disease in the United States. The most common ca... <truncated>","<p>Lung cancer is one of the most common forms of this disease in the United States. The most common... <truncated>","{Health}","<p>Lung cancer is one of the most common forms of this disease in the United States. The most common cause of lung cancer is smoking or exposure to secondhand smoke, but exposure to asbestos or air pollution can also bring on this disease. In other people, the lung cancer is idiopathic, meaning there is no [&hellip;]</p>
","https://naturalnewsblogs.com/seven-foods-reduce-risk-lung-cancer/","142","{""tags"": [""cancer"", ""Foods that Fight Lung Cancer"", ""lung cancer""], ""updated_at"": ""2015-02-04T12:20:11""}","2015-02-04 12:20:11+01","2019-09-19 15:09:35.299965+02","108676254","english, medical"
"378215","How to make green smoothies","7981","The process for making green smoothies is very simple. The hardest part is cleaning the blender, but... <truncated>","<p>The process for making green smoothies is very simple. The hardest part is cleaning the blender, ... <truncated>","{Health,Home,Food,Nutrition,Lifestyle}","<p>The process for making green smoothies is very simple. The hardest part is cleaning the blender, but even that gets to be routine, habitual and easy after doing it long enough. Don&#8217;t be like my dad&#8230; actually take it apart completely when cleaning it! Now, depending on the width of the bottom of the smoothie [&hellip;]</p>
","https://naturalnewsblogs.com/make-green-smoothies/","142","{""tags"": [""green smoothies"", ""smoothies"", ""weight gain"", ""weight loss""], ""updated_at"": ""2015-01-09T19:04:05""}","2015-01-09 19:04:05+01","2019-09-19 15:07:42.730557+02","108676051","english, medical"
"378217","Avoiding Deep Vein Thrombosis During Air Travel","7960","When a blood clot forms deep within a vein, deep vein thrombosis (DVT) occurs. It’s usually located ... <truncated>","<p>When a blood clot forms deep within a vein, deep vein thrombosis (DVT) occurs. It&#8217;s usually... <truncated>","{Health}","<p>When a blood clot forms deep within a vein, deep vein thrombosis (DVT) occurs. It&#8217;s usually located in a leg or thigh. DVT can cause very serious damage to the leg, or it could kill by detaching and becoming a pulmonary embolism. When it becomes a pulmonary embolism, it travels from the leg to the [&hellip;]</p>
","https://naturalnewsblogs.com/avoiding-deep-vein-thrombosis-air-travel/","142","{""tags"": [""aircraft charter"", ""charter aircraft"", ""charter flights""], ""updated_at"": ""2015-01-12T11:33:01""}","2015-01-12 11:33:01+01","2019-09-19 15:07:47.088511+02","108676054","english, medical"
"378225","Alternatives for Bathroom Tissue Paper","7956","One of the most important hygiene products known to modern-day mankind is bathroom tissue paper; or ... <truncated>","<p>One of the most important hygiene products known to modern-day mankind is bathroom tissue paper; ... <truncated>","{Health,""Personal Care"",Travel,Environment,""Child Care"",Lifestyle}","<p>One of the most important hygiene products known to modern-day mankind is bathroom tissue paper; or in other words toilet paper. This is because toilet paper is a product that is used by both men and women upwards of up to 4 maybe 5 times a day. Not to mention depending upon the thickness and [&hellip;]</p>
","https://naturalnewsblogs.com/alternatives-bathroom-tissue-paper/","142","{""tags"": [""Natural Alternatives"", ""Organic Alternatives"", ""Tissue Paper"", ""Toilet Paper"", ""Toilet Paper Alternatives""], ""updated_at"": ""2015-01-13T11:10:18""}","2015-01-13 11:10:18+01","2019-09-19 15:07:53.215112+02","108676065","english, medical"
"378201","Nightmare alley: Someone forgot to payoff a government official.","8157","We all know how corrupt our government is in so many areas. One of the worst is that of diet recomme... <truncated>","<p>We all know how corrupt our government is in so many areas. One of the worst is that of diet reco... <truncated>","{Health}","<p>We all know how corrupt our government is in so many areas. One of the worst is that of diet recommendations. If you look at the food pyramid you will find the worst at the top and the best at the bottom. Do you really believe that to be “reality” or could it be “payoff [&hellip;]</p>
","https://naturalnewsblogs.com/nightmare-alley-someone-forgot-payoff-government-official/","142","{""tags"": [""Congress"", ""government official"", ""USDA""], ""updated_at"": ""2015-01-05T14:11:12""}","2015-01-05 17:53:15+01","2019-09-19 15:07:27.522459+02","108676023","english, medical"
"378206","Opening a Good Restaurant that is Good for You","7960"," 
 
You love food and the prospect of dishing out delicacies for others. You don’t want to work for ... <truncated>","<p>&nbsp;</p>
<p><strong><strong> </strong></strong></p>
<p>You love food and the prospect of dishin... <truncated>","{Health,Business}","<p>&nbsp;   You love food and the prospect of dishing out delicacies for others. You don&#8217;t want to work for someone else in the restaurant business. You&#8217;re ready to take the plunge and go into business for yourself. Your top goal is to offer your patrons an experience that is beyond compare. You want to [&hellip;]</p>
","https://naturalnewsblogs.com/opening-good-restaurant-good/","142","{""tags"": [""how to start a restaurant"", ""opening a restaurant"", ""restaurant equipment"", ""used commercial kitchen equipment"", ""used restaurant equipment""], ""updated_at"": ""2015-01-07T13:54:24""}","2015-01-07 13:54:24+01","2019-09-19 15:07:33.101723+02","108676032","english, medical"
"1055219","The coffee debate","12842","Is Coffee Good for You?
Once again, we return to the question: Is coffee good for you, or bad?The la... <truncated>","<p><strong><span class=""HSI_verd_9pt_bold_blue"">Is Coffee Good for You?</span></strong></p>
<p><span... <truncated>","{""eAlert News""}","<p>Once again, we return to the question: Is coffee good for you, or bad? The latest coffee study adds another check in the ""good for you"" column.</p>
<p>The post <a href=""https://hsionline.com/2006/08/31/the-coffee-debate/"" rel=""nofollow"">The coffee debate</a> appeared first on <a href=""https://hsionline.com"" rel=""nofollow"">Health Sciences Institute - Official Site</a>.</p>","https://hsionline.com/2006/08/31/the-coffee-debate/","177","{""tags"": [""eAlert News"", ""coffee health benefits"", ""good for you"", ""healthy coffee""], ""updated_at"": ""2006-08-31 00:00:00Z""}","2006-08-31 02:00:00+02","2021-07-07 18:27:48.620535+02","108592959","english, medical"
"378233","Ignore these 7 Diet Tips, If You want to Lose Weight","7794","If you search the internet for diet tips, you can easily read over a million tips. However, not all ... <truncated>","<p>If you search the internet for diet tips, you can easily read over a million tips. However, not a... <truncated>","{Health,News,""Personal Care"",Food,Nutrition,Lifestyle,Fitness}","<p>If you search the internet for diet tips, you can easily read over a million tips. However, not all diet tips are good tips. If you are tired of filtering your diet tips, here are seven tips to avoid. If you avoid these tips, then you can go from there. 1. Intermittent Fasting Intermittent fasting [&hellip;]</p>
","https://naturalnewsblogs.com/ignore-7-diet-tips-want-lose-weight/","142","{""tags"": [""calorie food"", ""diet tips"", ""health"", ""lose weight"", ""weight loss journey""], ""updated_at"": ""2015-01-14T15:30:17""}","2015-01-14 14:15:36+01","2019-09-19 15:08:00.909996+02","108676081","english, medical"
